1000148,Retiro,-34.58333,-58.38333,AR,38635,7
1000149,Resistencia,-27.46056,-58.98389,AR,387158,56
1000150,Reconquista,-29.15,-59.65,AR,90184,50
1000151,Quilmes,-34.72904,-58.26374,AR,518788,19
1000152,Puerto Rico,-26.79598,-55.02402,AR,17491,147
1000153,Puerto Iguazu,-25.59912,-54.57355,AR,32038,177
1000154,Puerto Esperanza,-26.01517,-54.67306,AR,15579,152
1000155,Puerto Eldorado,-26.40843,-54.69463,AR,54189,102
1000156,Posadas,-27.36708,-55.89608,AR,323739,127
1000157,Pontevedra,-34.74785,-58.70072,AR,33515,20
1000158,Pirane,-25.73239,-59.10879,AR,19124,86
1000159,Paso de los Libres,-29.71251,-57.08771,AR,43805,73
1000160,Obera,-27.48706,-55.11994,AR,56528,345
1000161,Necochea,-38.5545,-58.73961,AR,80478,19
1000162,Moron,-34.6509,-58.61956,AR,319934,25
1000163,Monte Caseros,-30.25359,-57.63626,AR,24671,53
1000164,Montecarlo,-26.5662,-54.757,AR,22229,205
1000165,Mercedes,-34.65145,-59.43068,AR,52949,43
1000166,Mercedes,-29.18416,-58.07519,AR,30649,96
1000167,Mar del Plata,-38.00228,-57.55754,AR,553935,15
1000168,Lujan,-34.57028,-59.105,AR,81749,27
1000169,La Plata,-34.92145,-57.95453,AR,694167,27
1000170,La Paz,-30.74485,-59.64566,AR,24716,56
1000171,Jardin America,-27.04346,-55.22698,AR,24905,227
1000172,Gualeguaychu,-33.00937,-58.51722,AR,78676,14
1000173,Gualeguay,-33.14156,-59.30966,AR,33120,14
1000174,Goya,-29.14395,-59.2651,AR,70245,44
1000175,Gobernador Ingeniero Valentin Virasoro,-28.05,-56.03333,AR,28756,133
1000176,General Jose de San Martin,-26.53743,-59.34158,AR,31758,81
1000177,Garupa,-27.48171,-55.82921,AR,28814,108
1000178,Formosa,-26.17753,-58.17814,AR,221383,70
1000179,Fontana,-27.41813,-59.02392,AR,26745,54
1000180,Federal,-30.95465,-58.78326,AR,16333,67
1000181,Esquina,-30.01444,-59.52719,AR,26399,44
1000182,El Soberbio,-27.29847,-54.19877,AR,19571,156
1000183,Dolores,-36.31321,-57.67918,AR,25190,14
1000184,Curuzu Cuatia,-29.79171,-58.0546,AR,36390,79
1000185,Corrientes,-27.4806,-58.8341,AR,339067,63
1000186,Concordia,-31.39296,-58.02089,AR,145210,30
1000187,Concepcion del Uruguay,-32.48249,-58.23722,AR,67895,16
1000188,Colegiales,-34.57365,-58.44924,AR,57000,27
1000189,Chajari,-30.75048,-57.97962,AR,30655,58
1000190,Campana,-34.16874,-58.95914,AR,81612,17
1000191,Buenos Aires,-34.61315,-58.37723,AR,13076300,31
1000192,Barranqueras,-27.48132,-58.93925,AR,50823,52
1000193,Azul,-36.77698,-59.85854,AR,53941,141
1000194,Avellaneda,-29.11761,-59.65834,AR,23077,52
1000195,Aristobulo del Valle,-27.09625,-54.89626,AR,20683,494
1000196,Zapala,-38.89916,-70.05442,AR,31534,1015
1000197,Yerba Buena,-26.81667,-65.31667,AR,50783,515
1000198,Villa Regina,-39.1,-67.06667,AR,31209,201
1000199,Villa Paula de Sarmiento,-31.4933,-68.53838,AR,19092,646
1000200,Villa Nueva,-32.43293,-63.24763,AR,16841,204
1000201,Villa Maria,-32.40751,-63.24016,AR,92453,202
1000202,Villa Dolores,-31.94585,-65.18958,AR,28009,523
1000203,Villa Constitucion,-33.22778,-60.3297,AR,44271,32
1000204,Villa Carlos Paz,-31.42414,-64.49778,AR,69451,666
1000205,Villa Angela,-27.57383,-60.71526,AR,43511,79
1000206,Villa Allende,-31.29458,-64.29538,AR,21683,505
1000207,Viedma,-40.81345,-62.99668,AR,48940,8
1000208,Victoria,-32.61841,-60.15478,AR,25139,52
1000209,Vera,-29.4593,-60.21261,AR,19797,64
1000210,Venado Tuerto,-33.74556,-61.96885,AR,72340,117
1000211,Veinticinco de Mayo,-35.4323,-60.17271,AR,24668,57
1000212,Ushuaia,-54.8,-68.3,AR,58028,52
1000213,Unquillo,-31.23073,-64.31615,AR,15369,633
1000214,Tres Isletas,-26.34067,-60.43207,AR,24747,102
1000215,Tres Arroyos,-38.37394,-60.27978,AR,47136,113
1000216,Trelew,-43.24895,-65.30505,AR,93442,14
1000217,Termas de Rio Hondo,-27.49362,-64.85972,AR,27838,260
1000218,Tartagal,-22.51637,-63.80131,AR,60819,499
1000219,Tafi Viejo,-26.73201,-65.25921,AR,48459,629
1000220,Sunchales,-30.94404,-61.56148,AR,18757,98
1000221,Santo Tome,-31.66274,-60.7653,AR,59072,19
1000222,Santiago del Estero,-27.79511,-64.26149,AR,354692,188
1000223,Santa Rosa,-36.61667,-64.28333,AR,111424,179
1000224,Santa Lucia,-31.53987,-68.49503,AR,43565,620
1000225,Santa Fe de la Vera Cruz,-31.63333,-60.7,AR,489505,21
1000226,San Salvador de Jujuy,-24.19457,-65.29712,AR,305891,1260
1000227,San Ramon de la Nueva Oran,-23.13705,-64.32426,AR,74059,358
1000228,San Rafael,-34.61772,-68.33007,AR,109163,702
1000229,San Pedro,-24.23127,-64.86614,AR,58430,587
1000230,San Nicolas de los Arroyos,-33.33578,-60.22523,AR,127742,25
1000231,San Miguel de Tucuman,-26.82414,-65.2226,AR,781023,452
1000232,San Martin de los Andes,-40.15789,-71.35337,AR,23519,651
1000233,San Martin,-33.08103,-68.46814,AR,82549,661
1000234,San Luis,-33.29501,-66.33563,AR,183982,729
1000235,San Justo,-30.78913,-60.59189,AR,21809,59
1000236,San Juan,-31.5375,-68.53639,AR,447048,649
1000237,San Jose de Jachal,-30.24057,-68.74693,AR,21018,1176
1000238,San Jorge,-31.89618,-61.85984,AR,16873,109
1000239,San Francisco,-31.42797,-62.08266,AR,59062,118
1000240,San Fernando del Valle de Catamarca,-28.46957,-65.78524,AR,188812,545
1000241,San Antonio Oeste,-40.73193,-64.94769,AR,16966,12
1000242,Salta,-24.7859,-65.41166,AR,512686,1183
1000243,Rufino,-34.26827,-62.71262,AR,18361,118
1000244,Rosario,-32.94682,-60.63932,AR,1173533,38
1000245,Rio Tercero,-32.17301,-64.11405,AR,53389,387
1000246,Rio Segundo,-31.6526,-63.9099,AR,18155,341
1000247,Rio Gallegos,-51.62261,-69.21813,AR,85700,15
1000248,Rio Cuarto,-33.13067,-64.34992,AR,153757,441
1000249,Rio Ceballos,-31.16486,-64.32241,AR,16632,705
1000250,Rawson,-43.30016,-65.10228,AR,26335,13
1000251,Rafaela,-31.25033,-61.4867,AR,88713,103
1000252,Quitilipi,-26.86913,-60.21683,AR,32083,88
1000253,Punta Alta,-38.87588,-62.07359,AR,57209,8
1000254,Puerto Madryn,-42.7692,-65.03851,AR,64555,11
1000255,Presidencia Roque Saenz Pena,-26.78522,-60.43876,AR,81879,97
1000256,Pocito,-31.68333,-68.58333,AR,40969,608
1000257,Plottier,-38.96667,-68.23333,AR,25186,279
1000258,Pergamino,-33.88995,-60.57357,AR,87652,69
1000259,Perez,-32.99835,-60.76791,AR,24436,37
1000260,Parana,-31.73197,-60.5238,AR,262295,60
1000261,Palpala,-24.25647,-65.21163,AR,48199,1126
1000262,Olavarria,-36.89272,-60.32254,AR,86320,170
1000263,Nueve de Julio,-35.44437,-60.88313,AR,34718,80
1000264,Neuquen,-38.95161,-68.0591,AR,242092,281
1000265,Morteros,-30.71164,-61.99862,AR,15129,99
1000266,Monteros,-27.16741,-65.49832,AR,23771,360
1000267,Mendoza,-32.89084,-68.82717,AR,876884,746
1000268,Marcos Juarez,-32.6978,-62.10672,AR,24226,117
1000269,Machagai,-26.92614,-60.04955,AR,28070,90
1000270,Lincoln,-34.86649,-61.5302,AR,41808,92
1000271,Libertador General San Martin,-23.80644,-64.78757,AR,49267,485
1000272,Las Brenas,-27.08966,-61.08161,AR,26955,104
1000273,La Rioja,-29.41105,-66.85067,AR,162620,502
1000274,La Falda,-31.08841,-64.48987,AR,15112,947
1000275,La Calera,-31.34377,-64.33529,AR,24796,495
1000276,Laboulaye,-34.12662,-63.39119,AR,19908,143
1000277,Junin,-34.58382,-60.94332,AR,85007,83
1000278,Joaquin V. Gonzalez,-25.08333,-64.18333,AR,19185,400
1000279,Jesus Maria,-30.98153,-64.09424,AR,26825,533
1000280,Granadero Baigorria,-32.85683,-60.71754,AR,32427,32
1000281,Gobernador Galvez,-33.03016,-60.64045,AR,74650,28
1000282,General Villegas,-35.03285,-63.01252,AR,16270,112
1000283,General Roca,-39.03333,-67.58333,AR,73212,237
1000284,General Pinedo,-27.31667,-61.28333,AR,15741,95
1000285,General Pico,-35.65662,-63.75682,AR,57029,143
1000286,General Enrique Mosconi,-22.59588,-63.81255,AR,19811,481
1000287,Galvez,-32.02927,-61.22103,AR,18374,57
1000288,Firmat,-33.45937,-61.4832,AR,18294,109
1000289,Famailla,-27.05413,-65.40329,AR,30951,368
1000290,Esquel,-42.91147,-71.31947,AR,28486,577
1000291,Esperanza,-31.4488,-60.93173,AR,35885,40
